CalendarDate,Sony_Percent_Change,Market_Percent_Change,Dow_Percent_Change,Small_Minus_Big,High_Minus_Low
8/31/2009,-4.3734,3.1366,3.52994555,-0.56,7.68
9/30/2009,9.1997,4.5235,2.27457489,2.33,1.47
10/30/2009,0.6507,-2.7998,0.00463331,-4.28,-4.37
11/30/2009,-9.1868,5.7099,6.50805695,-2.84,0.13
12/31/2009,8.6549,2.8419,0.80436237,5.89,0.72
1/29/2010,14.5862,-3.7098,-3.4591319,0.43,0.57
2/26/2010,2.6482,3.4775,2.56204972,1.39,2.75
3/31/2010,12.3424,6.3605,5.14631109,1.57,2.01
4/30/2010,-10.6994,2.0011,1.39988192,5.01,3.14
5/28/2010,-10.0626,-7.9241,-7.930891,-0.01,-2.36
6/30/2010,-13.3303,-5.0821,-3.5872244,-2.08,-4.31
7/30/2010,17.0065,7.1454,7.0691752,-0.06,0.23
8/31/2010,-10.3559,-4.2918,-4.3213184,-2.92,-1.71
9/30/2010,10.458,9.1418,7.71193331,3.95,-3.05
10/29/2010,9.4337,3.8432,3.05218455,0.95,-2.21
11/30/2010,4.8363,0.5065,-1.0207569,3.78,-0.66
12/31/2010,0.6383,6.7052,5.18252191,0.77,3.53
1/31/2011,-3.8365,1.9157,2.71578258,-2.46,0.96
2/28/2011,7.2701,3.8064,2.80207508,1.79,1.38
3/31/2011,-13.5993,0.3374,0.76384265,2.73,-1.31
4/29/2011,-11.0588,2.8689,3.98393471,-0.22,-2.31
5/31/2011,-5.5457,-1.4933,-1.8793119,-0.43,-2.22
6/30/2011,-1.3089,-1.8395,-1.2366953,0.05,-0.5
7/29/2011,-4.8882,-2.247,-2.1837649,-1.43,-1.12
8/31/2011,-12.5498,-5.7471,-4.3621801,-3.24,-1.49
9/30/2011,-13.4396,-8.4873,-6.0287441,-3.58,-0.99
10/31/2011,10.3684,11.3984,9.54452241,3.53,-0.9
11/30/2011,-13.9247,-0.6225,0.7584268,-0.22,-0.02
12/30/2011,-0.0554,0.3701,1.42690159,-0.43,1.54
