CASEID,SEX,AGE,RACE,MARITAL,CHILDS,AGEKDBRN,EARNRS,BORN,CLASS,DWELOWN,INCOMECAT,INCOME,RINCOMECAT,RINCOME,EDUC,SPEDU,PAEDU,MAEDUC,DEGREE,SPDEG,PADEG,MADEG,WRKSTAT,SPWRKSTA,HRS1,SPHRS1,WRKSLF,WRKGOVT,TVHOURS,PARTYID,PARTYID3,POLVIEWS,POLVIEWS3,CAPUN,GUNLAW,EQWLTH,HELPPOOR,HELPNOT,HELPSICK,TAX,ODDS1,ODDS2,HOTCORE,EARTHSUN,JOBLOSE,JOBFIND,SATJOB,RICHWORK,JOBINC,JOBSEC,JOBHOURS,JOBPROMO,JOBMEANS,NEWS,HAPPY,HAPMAR,HEALTH,LIFE,UNEMP,UNION,PARSOL,KIDSSOL
57681,1,64,1,1,3,33,2,1,3,1,24,"140,000",23,"120,000",16,16,12,12,3,3,1,1,1,1,40,35,2,2,2,1,1,4,2,2,,6,3,3,2,,2,1,1,1,2,3,1,,3,5,4,2,1,1,1,1,,,1,4,1,3
57682,2,71,1,1,2,20,1,1,4,1,25,"175,000",,,12,18,8,8,1,4,0,0,5,2,,20,2,2,3,6,3,6,3,1,2,,,,,1,,,,,,,,,3,5,1,2,4,5,2,2,1,1,,,,
57683,1,67,1,1,2,38,2,1,3,,1,500,,,17,12,12,12,3,1,1,1,5,2,,8,2,2,,5,3,5,3,1,2,5,3,4,3,1,,,,,,,,,,,,,,,2,1,3,2,2,4,2,2
57684,2,31,3,1,1,25,1,2,2,,20,"67,500",,,16,16,15,8,3,3,3,0,7,1,,40,,,,3,2,,,2,,,1,3,3,1,8,8,1,1,,,1,,,,,,,,1,1,3,1,2,4,1,1
57685,1,40,3,1,1,34,1,2,2,,20,"67,500",,,16,18,12,5,3,4,1,0,7,1,,40,,,,3,2,2,1,,1,2,2,3,2,1,2,1,1,1,,,4,,,,,,,,3,2,2,2,1,4,2,1
57686,2,47,1,5,0,,1,1,2,1,14,"23,750",14,"23,750",11,,,12,1,,,1,1,0,40,,2,2,2,3,2,3,1,1,,2,3,2,1,,2,1,8,1,1,3,1,,,,,,,5,3,,,,1,4,2,3
57687,2,70,1,2,3,21,1,1,2,,13,"21,250",13,"21,250",12,,10,11,1,,0,0,1,0,33,,2,2,,1,1,4,2,2,2,3,4,3,4,1,,,,,,,1,1,,,,,,,3,,3,2,1,4,3,2
57688,2,29,3,1,0,,1,2,3,2,,,,,16,16,17,12,3,3,4,1,1,7,40,,2,2,2,3,2,4,2,1,,5,3,3,2,,2,2,1,1,4,2,2,,,,,,,4,1,1,,,2,4,1,1
57689,1,69,1,1,2,24,0,1,3,1,22,"100,000",,,14,16,9,10,1,3,0,0,5,5,,,2,2,8,3,2,4,2,,,3,3,5,3,,8,8,1,1,,,,,,,,,,3,3,1,,,2,4,3,2
57690,2,61,1,1,1,36,2,1,3,1,22,"100,000",19,"55,000",14,12,,,2,1,,,8,8,,,2,2,3,1,1,4,2,1,,2,3,4,3,,2,1,1,1,,,,,,,,,,5,2,2,,,2,2,,3
57691,2,62,1,1,2,21,2,1,3,1,,,,,14,16,14,12,2,3,1,1,2,2,20,36,2,2,2,5,3,5,3,1,1,,,,,1,,,,,4,2,1,1,3,4,2,5,1,1,2,1,1,2,,,,
57692,2,21,1,5,0,,1,1,2,,22,"100,000",11,"16,250",14,,,17,1,,,3,6,0,,,2,2,,0,1,2,1,1,1,1,2,2,1,1,,,,,,,,,,,,,,,2,,1,2,1,4,4,4
57693,1,41,1,5,0,,1,1,3,,18,"45,000",18,"45,000",13,,17,16,1,,3,3,1,0,42,,2,2,,0,1,1,1,2,,1,1,1,1,2,2,1,1,1,,,2,2,,,,,,,1,,2,2,2,2,3,3
57694,1,35,1,5,0,,1,1,3,2,19,"55,000",19,"55,000",18,,20,18,4,,4,4,1,0,40,,2,2,5,1,1,2,1,2,,2,1,2,1,,2,1,1,1,4,2,1,,,,,,,1,2,,,,1,1,4,3
57695,2,67,2,2,2,16,0,1,2,1,11,"16,250",,,13,,,,1,,,,5,0,,,2,,6,0,1,3,1,1,,1,5,3,3,,2,2,1,1,,,,,,,,,,2,2,,,,2,4,1,2
57696,2,76,2,2,3,16,0,1,2,,,,,,10,,,,0,,0,0,5,0,,,2,2,,0,1,4,2,2,1,1,1,3,1,1,,,,,,,,,,,,,,,3,,3,1,2,4,1,
57697,1,30,1,5,0,,1,1,1,,6,"6,500",6,"6,500",13,,12,12,1,,,1,2,0,40,,2,2,,6,3,5,3,2,1,1,3,1,3,1,2,1,1,1,,,2,1,,,,,,,2,,2,2,1,1,4,
